Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBA;HS044887;0.0004;4935;19;0;2447;13;16648;2629;0043202,5765,4348,5102,5975,8219,71356,46513,6680,50728,32715,43407,35307,46512, 0023021;00600,511,1100, 04142;;;;1q21;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC;HS046415;0.0004;15676;38;0;3880;18;16648;3371;0005604,5615,5614,7155,30198,60739,7528,14012,8284,10628,60740, 0009611;04512,5206,4510, 04151;;;;9q33;9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPPP3;HS038631;0.0004;303;4;0;253;4;16648;51673;0005737,5874,15631, 0001578;;;;;16q22.1;16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGEE1;HS051328;0.0004;654;6;0;642;6;16648;57692;0030425,16010,5634,48471, 0045211;;;;;Xq13.3;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDH8;HS048738;0.0004;564;6;0;256;4;16648;5100;0030054,30425,5887,45211,42734,5509,7267,7156,16331,1756, 0007268;;;;;13q21.1;13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPP10;HS051286;0.0004;342;3;0;115;3;16648;57628;0016021,16020,8236, 0006508;;;;;2q14.1;2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCNK10;HS049542;0.0004;388;8;0;115;3;16648;54207;0016021,5886,5267,5244,7165, 0007268;04971;;;;14q31.3;14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS6KA3;HS051821;0.0004;1717;23;0;441;5;16648;6197;0005829,5654,5524,43027,287,4674,7411,7049,7417,45087,2755,43066,48011,45597,30307,45944,43620,43555,32496,1501,51403,7268,34166,34134,34138,34142,34146,34162,38123,38124, 0035666;04114,4150,4010,4722,4914, 04720;;;;Xp22.2-p22.1;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFNA3;HS042845;0.0004;295;7;0;116;3;16648;1944;0031225,5887,5005, 0007267;04151,4360,4015,4014, 05206;;;;1q21-q22;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC9C1;HS045609;0.0004;1097;10;0;653;6;16648;285335;0016021,31514,5886,15299,30154,34220,7275,6814,30317, 0007283;;;;;3q13.2;3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No mapping: HS053060;HS053060;0.0004;71;3;0;28;2;16648;;;;;;;null;null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No mapping: HS053868;HS053868;0.0004;65;9;0;28;2;16648;;;;;;;null;null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No mapping: HS046934;HS046934;0.0004;77;16;0;28;2;16648;;;;;;;null;null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No mapping: HS051717;HS051717;0.0004;97;7;0;28;2;16648;;;;;;;null;null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYN3;HS054547;0.0004;347;3;0;121;3;16648;8224;0030054,8021,30672,5524,3824,8152, 0007269;;;;;22q12.3;22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLGN3;HS049573;0.0004;282;7;0;121;3;16648;54413;0030054,9986,30139,60076,5887,50839,42043,4872,48675,7158,2000969,2000463,51965,51968,97104,97105,6898,61001,60080,1900271,2000310,2087,2000331,60024,35176, 0008542;04514;;;;Xq13.1;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDH9;HS039471;0.0004;53;2;0;30;2;16648;1007;0016021,5886,5509,34332,34329, 0007156;;;;;5p14;5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANO10;HS050028;0.0004;59;13;0;30;2;16648;55129;0016021,5622,5886,8219, 0034220;;;;;3p22.1;3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRI1;HS070204;0.0004;387;7;0;274;4;16648;84245;0042995,5829,5634,46523,19509, 0006595;00270, 01100;;;;19p13.2;19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUCLG1;HS055632;0.0004;223;17;0;125;3;16648;8802;0005743,5759,5886,45244,3878,48037,19003,5525,4775,4776,44281,6105,6104, 0006099;00020,1100,1200, 00640;;;;2p11.2;2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-CYB;HS085713;0.0004;257;6;0;125;3;16648;4519;0016021,5750,9055,46872,8121,6122, 0044281;00190,1100,4260,5016,4932,5010, 05012;;;;;placenta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCNN4;HS047151;0.0004;1864;23;0;466;5;16648;3783;0008076,15269,16286,6816,6884,6952,45332,50714,50862,46541,30322, 0007268;04970,4974, 04911;;;;19q13.2;19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCNE2;HS056973;0.0004;841;4;0;278;4;16648;9992;0009986,5764,8076,44325,15459,1902282,34613,35690,1901800,71435,10107,1902259,86091,1901979, 0060307;04971;;;;21q22.12;21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSD17B10;HS046122;0.0004;834;16;0;279;4;16648;3028;0005783,5743,5759,5886,47015,3857,8709,30283,9083,34641,6629, 0008033;05010,1100, 00280;;;;Xp11.2;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDR45;HS040339;0.0004;93;2;0;32;2;16648;11152;0005737,80025,32266,45, 0008219;;;;;Xp11.23;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHGB;HS040327;0.0004;1610;19;0;473;5;16648;1114;0005576,30141, 0005179;;;;;20p12.3;20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHOX2;HS052323;0.0003;520;4;0;132;3;16648;6474;0005634,3700,976,3209,60351,2063,48557,35115,60272,7507,3170,60415,122,7399,1649,50772,2053,48743,45880,45944,2000172,32330, 0001501;;;;;3q25.32;3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTX2;HS048599;0.0003;2281;21;0;697;6;16648;5015;0005737,30426,5634,43234,8190,1077,43565,7411,1708,48852,9953,7492,42706,30900,42472,22037,30901,40019,2000543,90009,6461,40036,8589, 0032525;;;;;14q22.3;14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAP4;HS047870;0.0003;920;5;0;287;4;16648;4134;0005737,5874,5875,72686,5886,5198,51301,51294,51012, 0007052;;;;;3p21;3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNKD;HS044671;0.0003;1808;22;0;700;6;16648;25953;0016020,5739,5634,4416,8270, 0006750;;;;;2q35;2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTMR11;HS040135;0.0003;43;2;0;34;2;16648;10903;0016791;;;;;1q12-q21;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROD1;HS048392;0.0003;2349;13;0;940;7;16648;4760;0005737,5654,3682,3690,70888,46982,1105,43565,3700,35881,9952,71333,21549,21542,48562,31018,35883,42593,48839,30073,46426,2000675,7263,6913,3326,3329,43065,45666,51091,2000679,71156,50796,60730,42493,9749, 0023019;04950;;;;2q32;2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No mapping: HS042194;HS042194;0.0003;1;1;0;1;1;16648;;;;;;;null;null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No mapping: HS050666;HS050666;0.0003;1;1;0;1;1;16648;;;;;;;null;null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No mapping: HS047077;HS047077;0.0003;1;1;0;1;1;16648;;;;;;;null;null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No mapping: HS049983;HS049983;0.0003;1;1;0;1;1;16648;;;;;;;null;null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No mapping: HS054919;HS054919;0.0003;3;3;0;1;1;16648;;;;;;;null;null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSIP1;HS042424;0.0003;165;8;0;35;2;16648;161835;;;;;;15q14;15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCNV2;HS042612;0.0003;145;11;0;35;2;16648;169522;0005886,8076,5251,51260, 0007268;;;;;9p24.2;9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPYSL3;HS042748;0.0003;480;6;0;137;3;16648;1809;0044297,5829,5615,31941,30426,30027,35374,16812,17124,51764,51017,7411,71345,30336,10977,51491,10976,51260,6208, 0048678;;;;;5q32;5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMX1B;HS047692;0.0003;1010;12;0;294;4;16648;4010;0005634,43565,3700,8270,8219,8283,21954,21587,30199,71542,9953,1701,35108,30901,30182,1764,35265,45944,2930, 0006351;;;;;9q33.3;9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELAVL4;HS042934;0.0003;1036;10;0;295;4;16648;1996;0017091,3730,166, 0006397;;;;;1p34;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLP1;HS049432;0.0003;9544;32;0;2569;13;16648;5354;0016021,43209,19911,5198,8366,8219,48469,22010,7229,42759,10628, 0007268;;;;;Xq22;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCA2;HS048550;0.0003;799;7;0;296;4;16648;4948;0005789,10008,16021,5765,33162,5302,8283,6726,42438,30318, 0007286;;;;;15q;15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No mapping: HS051925;HS051925;0.0003;124;9;0;36;2;16648;;;;;;;null;null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOCK7;HS055415;0.0003;116;8;0;36;2;16648;85440;0030424,45178,30426,5085,48365,32863,7409,45200,226,43473,33138, 0007264;;;;;1p31.3;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRXN2;HS085814;0.0003;97;2;0;36;2;16648;9379;0016021,7155,5246,50839,46872,97109,97116,97118,7269,97119, 0097104;04514;;;;11q13;11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDAC1;HS046146;0.0003;7153;30;0;2577;13;16648;3065;0005829,16581,16580,1047,4407,32041,97372,46969,46970,1106,3700,8134,7596,6338,42733,9913,61029,61198,60789,70932,70933,278,19048,43922,60766,43066,45786,48011,7219,42475,8284,10870,45944,6367, 0007179;05016,4330,5031,5034,5169,5202,5203,5200,5206,5220, 04110;;;;1p34;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECTA;HS052967;0.0003;945;13;0;497;5;16648;7007;0031225,5886,5578,5201,7160, 0007605;;;;;11q22-q24;11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPP2R2B;HS050103;0.0003;387;3;0;141;3;16648;5521;0005856,5829,5741,159,8601,7420,33554,43653,30182,43525,6626,34047,7165, 0007286;04261,3015,4151,4530,4728,4390,5142, 05160;;;;5q32;5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC13A5;HS045481;0.0003;123;12;0;37;2;16648;284111;0016323,16021,5886,15137,17153,15141, 0055085;;;;;17p13.1;17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No mapping: HS053039;HS053039;0.0003;82;2;0;37;2;16648;;;;;;;null;null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRNA6;HS055761;0.0003;85;2;0;37;2;16648;8973;0005892,30054,45211,15464,4889,51899, 0014059;05033,4080, 04725;;;;8p11.21;8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRINA;HS045876;0.0003;68;6;0;37;2;16648;2907;0016021;;;;;8q24.3;8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSR;HS046944;0.0003;2000;21;0;966;7;16648;3643;0005901,10008,5899,5524,5525,43559,5009,5159,4716,187,32148,5975,71363,31017,7186,42593,3007,30238,30335,8284,48639,45740,46326,45725,45821,45840,45429,51897,60267,46777,51290,45995,6355, 0019087;04151,4014,4015,4066,4520,4930,4932,4960,4913, 04910;;;;19p13.3-p13.2;19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPC2;HS039894;0.0003;1309;6;0;502;5;16648;10577;0005783,5576,5764,15485,33344,42632,8203,46836,32367,15914,19747, 0009615;04142;;;;14q24.3;14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPY1R;HS048487;0.0003;439;8;0;304;4;16648;4886;0005887,4983,1602,1601,7193,7631,6006,7626,3151,8217,40014, 0019233;04080;;;;4q31.3-q32;4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCNH1;HS047102;0.0003;1687;23;0;504;5;16648;3756;0005637,8076,5251,155,7520,42391,23014, 0007268;;;;;1q32.2;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
