Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSC2;HS053153;0.0351;6311;462;0;1848;174;16648;7249;0005901,30425,5794,30426,16020,43025,5634,48471,33596,5096,19902,6953,7050,30030,6897,7173,38095,8543,7507,45087,8286,48009,8285,45792,50680,43407,14067,6469,51898,32007,30178,1843,48011,14065,48015,50918,51291,51260,6606,43491,30100,46626,51056, 0001666;04115,4910,4151, 04150;;;;16p13.3;16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCB1;HS049322;0.0332;98709;2025;0;22711;354;16648;5243;0016324,9986,139,16021,46581,5524,42626,8559,6855,86, 0072089;02010,4976, 05206;;;;7q21.12;7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GABRG2;HS044465;0.0310;638;255;0;342;112;16648;2566;0030424,30054,34707,5737,32590,60077,5887,45211,8503,5254,5230,4890,30534,7214,34220,9791, 0051932;04080,4723,4727,5033, 05032;;;;5q34;5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCN1B;HS051912;0.0290;421;225;0;203;97;16648;6324;0005576,14704,33268,30315,1518,19871,5248,86062,60048,7155,21966,19227,10976,10765,60371,86002,86091,2000649,60307,46684, 0007268;04261;;;;19q13.1;19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVALB;HS051431;0.0273;9947;395;0;3742;172;16648;5816;0030424,5737, 0005509;;;;;22q13.1;22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPY;HS048463;0.0273;65565;1205;0;13753;259;16648;4852;0005623,5615,5246,4930,5184,8343,8015,6816,8283,6928,21954,21987,7586,7187,31175,7218,32100,8217, 0007268;04080,5034, 04920;;;;7p15.1;7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRNA4;HS040540;0.0265;677;226;0;281;95;16648;1137;0005892,30054,30425,9897,43025,45211,42166,15464,4889,42113,35095,6816,50890,6281,35640,7626,51899,1508,14059,60080,7585,1666,6979,19233, 0007271;05033,4080, 04725;;;;20q13.33;20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POMC;HS049577;0.0263;173484;948;0;67740;517;16648;5443;0005615,5782,34774,5179,70996,7267,33059,44267,6091,32720,7218,16486,45944,32098,8217, 0007165;04920,4916, 04080;;;;2p23.3;2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDNF;HS051865;0.0259;87549;1382;0;18189;279;16648;627;0005576,48471,8021,8083,7411,7412,1662,2544,16358,7631,14047,48839,7611,42490,6120,7406,43524,45843,21675,7399,8038,48170,45666,51965,60079,19222,46668,48172,72347,14076,9725,55093,1666,33189, 0001657;05030,5016,5034,4722, 04010;;;;11p13;11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCX;HS042498;0.0251;3816;415;0;1500;128;16648;1641;0005829,5874,5875,43005,8017,48675,7411,7420,7417,21952,48813,35556, 0001764;;;;;Xq22.3-q23;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
