Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
CENPB;HS039905;0.0166;1287;2;0;360;1;245;1059;0000775, 0005634, 0019237, 0003682, 0003696, 0006355;;;;;20p13;20
ACVR2A;HS056175;0.0166;900;1;0;360;1;245;92;0009986, 0005737, 0034673, 0005887, 0005524, 0015026, 0046872, 0004702, 0005024, 0004675, 0032924, 0009952, 0030509, 0007368, 0048706, 0001702, 0007498, 0043084, 0032927, 0030501, 0045648, 0045669, 0010862, 0030510, 0050999, 0060011, 0023014, 0042713, 0007283;04350, 04060;;;;2q22.3;2
IQGAP1;HS055655;0.0162;1983;8;0;390;1;245;8826;0005884, 0031252, 0005737, 0016328, 0005874, 0030496, 0043005, 0005634, 0005886, 0030529, 0036057, 0005509, 0005516, 0005096, 0005095, 0005099, 0071277, 0006112, 0072015, 0035305, 0045860, 0032320, 0001817, 0050796, 0007165, 0007264, 0044281;04810, 05205, 04520;;;;15q26.1;15
SLC7A11;HS044191;0.0161;1228;2;0;398;1;245;23657;0005856, 0016021, 0005886, 0005791, 0015327, 0007596, 0007420, 0070306, 0050900, 0070527, 0035094, 0006979, 0009636;;;;;4q28-q32;4
COL7A1;HS041268;0.0160;1041;4;0;408;1;245;1294;0005604, 0005590, 0005788, 0004867, 0007155, 0030574, 0008544, 0022617;04974;;;;3p21.1;3
MTM1;HS048230;0.0159;1538;4;0;423;1;245;4534;0005829, 0030175, 0031674, 0005770, 0005886, 0001726, 0019215, 0035091, 0052629, 0004438, 0004721, 0004725, 0008333, 0045109, 0048311, 0070584, 0046716, 0035335, 0006661, 0046856, 0015031, 0044088, 0044281;04070, 01100, 00562;;;;Xq28;X
ACOT7;HS040513;0.0155;797;1;0;461;1;245;11332;0044297, 0005737, 0005829, 0005739, 0043005, 0004091, 0003824, 0000062, 0016290, 0009062, 0006629;00062, 01040;;;;1p36;1
EHMT2;HS040148;0.0152;1561;1;0;499;1;245;10919;0005694, 0005634, 0046976, 0046974, 0008270, 0006306, 0010424, 0009566, 0000122, 0035265, 0018027, 0006275, 0007286, 0007130;00310;;;;6p21.31;6
MPO;HS048051;0.0152;46307;7;0;18025;3;245;4353;0005615, 0005764, 0005739, 0005634, 0030141, 0003682, 0020037, 0008201, 0046872, 0004601, 0006952, 0050832, 0042744, 0002149, 0034374, 0043066, 0044130, 0019430, 0002679, 0001878;04145, 05202;;;;17q23.1;17
HGS;HS056085;0.0152;1565;3;0;504;1;245;9146;0005829, 0005769, 0031901, 0032585, 0030141, 0046872, 0016197, 0008333, 0007173, 0006886, 0008285, 0042059, 0046426, 0042176;04144, 04145;;;;17q25;17
SRPX2;HS045201;0.0151;1323;13;0;509;1;245;27286;0005737, 0005576, 0015630, 0001525, 0048870, 0016337, 0090050, 0042325;;;;;Xq21.33-q23;X
WIPF2;HS041907;0.0151;656;1;0;511;1;245;147179;0005856, 0005829, 0038096, 0045087;;;;;17q21.2;17
PSAP;HS050775;0.0148;2382;5;0;552;1;245;5660;0005615, 0005794, 0016021, 0043202, 0005765, 0005739, 0008047, 0008289, 0071310, 0060742, 0006687, 0006869, 0030168, 0002576, 0060736, 0019216, 0043408, 0044281;04142;;;;10q21-q22;10
POU3F2;HS049656;0.0147;1015;1;0;566;1;245;5454;0005634, 0005667, 0001105, 0043565, 0003700, 0014002, 0071310, 0021799, 0008544, 0021869, 0021979, 0022011, 0021985, 0030182, 0008284, 0040018, 0050770;;;;;6q16;6
GALC;HS044542;0.0144;1765;1;0;616;1;245;2581;0043202, 0004336, 0005975, 0006683, 0044281;04142, 01100, 00600;;;;14q31;14
ALPL;HS044292;0.0143;1894;7;0;620;1;245;249;0031225, 0005615, 0016021, 0005886, 0004035, 0046872, 0016462, 0071407, 0071529, 0003006, 0001958, 0046677, 0051384, 0032496, 0033280, 0001501;00790, 01100;;;;1p36.12;1
PIPOX;HS048940;0.0143;1383;2;0;628;1;245;51268;0005777, 0050031, 0008115, 0033514, 0046653;01100, 04146, 00260, 00310;;;;17q11.2;17
MBTPS1;HS055572;0.0142;2367;4;0;643;1;245;8720;0005788, 0005789, 0000139, 0005795, 0016021, 0004252, 0006987, 0044267, 0008203, 0006629, 0006508, 0042990, 0044281;04141;;;;16q24;16
NTN1;HS056487;0.0140;2872;5;0;669;1;245;9423;0005604, 0005737, 0005576, 0033564, 0006915, 0007411, 0016337, 0040023, 0042472, 0060603, 0030517, 0001764, 0045773, 0008284, 0030334;04360;;;;17p13-p12;17
MAPK10;HS050629;0.0140;1637;2;0;669;1;245;5602;0005829, 0005739, 0005654, 0005886, 0005524, 0004705, 0004708, 0038095, 0045087, 0002755, 0051090, 0034166, 0034134, 0034138, 0034142, 0034146, 0034162, 0038123, 0038124, 0035666;05132, 05120, 04910, 04914, 04622, 04920, 04728, 04932, 04723, 04917, 04620, 05160, 04010, 05152, 05133, 05200, 05131, 05164, 05161, 04621, 05142, 05210, 05212, 05168, 04930, 05169, 05145, 04141, 04510, 04014, 04012, 04310, 04668, 04664, 04722, 04380, 04912;;;;4q22.1-q23;4
AKT1S1;HS039233;0.0140;1090;1;0;671;1;245;84335;0005829, 0007173, 0038095, 0008543, 0045087, 0045792, 0006469, 0032007, 0048011, 0048015, 0043523;04150;;;;19q13.33;19
BDKRB2;HS051850;0.0140;1667;2;0;672;1;245;624;0005768, 0005887, 0004947, 0004435, 0050482, 0007204, 0006954, 0043066, 0033137, 0043114, 0019229, 0009651, 0006939, 0007169, 0042310, 0042311;04961, 04020, 04810, 04610, 05142, 04080;;;;14q32.1-q32.2;14
PDIA3;HS045930;0.0139;2123;2;0;683;1;245;2923;0009986, 0005788, 0042470, 0004197, 0004629, 0003756, 0015035, 0002479, 0045454, 0006662, 0043065, 0043687, 0006606, 0018279, 0006621, 0007165;04141, 04612;;;;15q15;15
CYP3A4;HS038002;0.0139;22376;2;0;7543;2;245;1576;0009986, 0005789, 0016021, 0047638, 0034875, 0020037, 0005506, 0016712, 0019825, 0050591, 0005496, 0033780, 0050649, 0070576, 0030343, 0009822, 0008209, 0042738, 0046483, 0016098, 0070989, 0006706, 0006805;00830, 00591, 00980, 00982, 05204, 00983, 04976, 00140;;;;7q21.1;7
