Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
CNR1;HS041138;0.0394;25731;8;0;7763;2;121;1268;0005887, 0004949, 0008144, 0007188, 0007568, 0007610, 0060135, 0007613, 0045759, 0045776, 0033602, 0031999, 0033004, 0051001, 0002866, 0043065, 0045777, 0031622, 0010976, 0060259, 0050796, 0060405, 0032228, 0051966, 0042220, 0045471, 0032496, 0043278, 0035094, 0007584, 0006950, 0019233, 0007283;04723, 04080, 04015;;;;6q14-q15;6
CHRFAM7A;HS9090562;0.0393;929;1;0;361;1;121;1139, 89832;0005892, 0030054, 0045211, 0042166, 0015464, 0004889, 0001540, 0017081, 0042803, 0015643, 0000187, 0006816, 0006874, 0007613, 0032720, 0045766, 0008284, 0001666, 0035094, 0016021, 0005230;05204, 04725, 05033, 04020, 04080;;;;15q14;15
SHC2;HS044508;0.0393;993;1;0;364;1;121;25759;0005829, 0008286, 0048011, 0007265;04062, 04014, 04510, 04722, 04650, 04917, 05034, 04012, 04910, 05100, 04370, 05214, 05220, 04915;;;;19p13.3;19
PAM;HS048670;0.0388;2331;5;0;387;1;121;5066;0009986, 0005576, 0016021, 0043005, 0043204, 0048471, 0005886, 0030141, 0030667, 0005802, 0005509, 0005507, 0031418, 0004598, 0004504, 0008270, 0006464, 0007417, 0007507, 0060173, 0001676, 0060135, 0042476, 0022602, 0001519, 0006518, 0018032, 0051260, 0032956, 0050708, 0006357, 0046688, 0042493, 0032355, 0051384, 0001666, 0009268, 0009404;;;;;5q14-q21;5
SLC6A12;HS052550;0.0387;850;1;0;388;1;121;6539;0016021, 0005887, 0005886, 0005332, 0005328, 0006865, 0071474, 0009992, 0007269, 0010033, 0055085;;;;;12p13;12
GRIK1;HS045833;0.0372;1204;1;0;468;1;121;2897;0030054, 0030425, 0005887, 0032983, 0045211, 0042734, 0005234, 0015277, 0030534, 0048266, 0007417, 0051967, 0014054, 0032230, 0060079, 0060080, 0051966, 0007268, 0035249;04080, 04724;;;;21q22.11;21
KCNJ3;HS047120;0.0369;1437;3;0;486;1;121;3760;0009897, 0030315, 0008076, 0015467, 0051602, 0007268;04713, 04724, 05032, 04723, 04725, 04726, 04915, 04728;;;;2q24.1;2
KCNH1;HS047102;0.0366;1687;2;0;504;1;121;3756;0005637, 0008076, 0005251, 0000155, 0007520, 0042391, 0023014, 0007268;;;;;1q32.2;1
ARSI;HS046537;0.0364;1162;6;0;512;1;121;340075;0005788, 0005576, 0004065, 0046872, 0006687, 0043687, 0044281;;;;;5q32;5
KCNQ2;HS047155;0.0360;1964;10;0;541;1;121;3785;0043194, 0033268, 0008076, 0005251, 0007411, 0007268;04725;;;;20q13.3;20
ARHGEF1;HS056068;0.0356;1355;1;0;565;1;121;9138;0005829, 0005886, 0005096, 0005543, 0005089, 0008283, 0050771, 0048011, 0043547, 0035023, 0007266, 0038032;04270, 04810, 05205;;;;19q13.13;19
LGI1;HS056194;0.0352;2080;6;0;597;1;121;9211;0030054, 0005576, 0005615, 0045202, 0007411, 0008283, 0030307, 0050806, 0051260;;;;;10q24;10
LGMN;HS050753;0.0348;1712;2;0;622;1;121;5641;0045177, 0005770, 0043202, 0004197, 0019886, 0045087, 1901185, 0040015, 0043524, 0051603, 0032801, 0003014, 0001101, 0002224, 0042359;04612, 04142;;;;14q32.1;14
SLC3A1;HS052488;0.0348;1522;1;0;622;1;121;6519;0005887, 0005743, 0005774, 0015174, 0003824, 0043169, 0015184, 0005975, 0006520;04974;;;;2p16.3;2
IKBKAP;HS039263;0.0344;1504;1;0;653;1;121;8518;0005737, 0016591, 0033588, 0005730, 0008023, 0008607, 0004871, 0006955, 0030335, 0006461, 0006468, 0006357, 0006368;;;;;9q31;9
KCNA1;HS047018;0.0336;1991;6;0;724;1;121;3736;0016324, 0030425, 0044224, 0043025, 0008076, 0005251, 0051260, 0007268;;;;;12p13.32;12
SLC6A1;HS052513;0.0335;2283;1;0;727;1;121;6529;0030424, 0009986, 0016021, 0005887, 0005886, 0005332, 0005328, 0051939, 0007612, 0032229, 0007269, 0014054, 0051260, 0051592, 0042220, 0032355, 0010288, 0014074, 0009744, 0009636, 0055085;04727;;;;3p25.3;3
