Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
GNB2L1;HS039745;0.0060;3133;2;0;736;1;454;10399;0005856, 0030425, 0030496, 0043025, 0005634, 0043204, 0048471, 0001891, 0015935, 0008656, 0008200, 0032947, 0005080, 0030292, 0030971, 0042169, 0007049, 0007369, 0019048, 0030308, 0050765, 0051898, 0017148, 0030178, 0043065, 0030822, 0030335, 0051343, 2000543, 0043547, 2001244, 0032436, 0032464, 0001934, 0051726, 0051302, 2000114, 0090003, 0032880, 0048511;05162;;;;5q35.3;5
MTHFR;HS048228;0.0060;22907;2;0;5787;2;454;4524;0005829, 0004489, 0072341, 0008015, 0046655, 0050667, 0009086, 0035999;00670, 01100, 01200;;;;1p36.3;1
SLC5A8;HS042389;0.0059;1707;2;0;767;1;454;160728;0016324, 0016021, 0005886, 0015293, 0006915, 0006811, 0006814, 0055085;;;;;12q23.1;12
SLC15A1;HS052584;0.0059;3013;3;0;779;1;454;6564;0005887, 0015333, 0005427, 0007586, 0015031;04974;;;;13q32.3;13
PDXP;HS038785;0.0059;2030;7;0;779;1;454;57026;0005856, 0005829, 0031258, 0032587, 0031072, 0046872, 0004721, 0004647, 0033883, 0031247, 0071318, 0030836, 0006470, 0032465, 0007088;01100, 00750;;;;22q12.3;22
OPRM1;HS048577;0.0058;16031;2;0;5957;2;454;4988;0005783, 0005794, 0005887, 0004979, 0001965, 0038047, 0005245, 0007191, 0007193, 0048149, 0033554, 0007204, 0007187, 0007626, 0007194, 0043951, 0008285, 0045019, 0061358, 0007200, 0043950, 0070374, 0050769, 0045429, 0051481, 0050795, 2000310, 0019233;04080, 04915, 05032;;;;6q24-q25;6
FOXG1;HS038097;0.0058;2421;1;0;799;1;454;2290;0005634, 0003677, 0043565, 0003700, 0007568, 0016199, 0007420, 0021954, 0009953, 0030900, 0042472, 0045665, 0045892, 0045787, 0002052, 0007346, 0006351;;;;;14q13;14
SLC11A2;HS048492;0.0058;3454;2;0;804;1;454;4891;0016324, 0045178, 0005903, 0009986, 0031410, 0005769, 0012505, 0005887, 0005770, 0031902, 0005765, 0005764, 0005634, 0070826, 0048471, 0005886, 0055037, 0005802, 0015086, 0015087, 0005375, 0015093, 0015078, 0015094, 0005384, 0015099, 0015295, 0015100, 0005385, 0006919, 0006879, 0034599, 0048813, 0003032, 0048821, 0070627, 0006783, 0007611, 0060586, 0001666, 0010039;04978, 04142;;;;12q13;12
SLC1A1;HS052454;0.0058;3206;3;0;805;1;454;6505;0005887, 0016595, 0015501, 0005313, 0017153, 0070779, 0051938, 0051260, 0007268;04724, 04974;;;;9p24;9
MARCKS;HS047828;0.0058;3565;1;0;809;1;454;4082;0015629, 0005938, 0005813, 0042585, 0005886, 0051015, 0005516, 0006112, 0050796, 0044281;04666, 05206;;;;6q22.2;6
ATP1A1;HS048391;0.0058;1443;1;0;823;1;454;476;0016323, 0005901, 0005783, 0005768, 0005794, 0042470, 0005890, 0030315, 0003869, 0043531, 0005524, 0051087, 0030955, 0031402, 0005391, 0006754, 0071260, 0060081, 0031947, 0045822, 0045823, 0045989, 0010107, 0008217, 0086004, 0002028, 0002026, 0042493;04911, 04260, 04261, 04918, 04960, 04970, 04961, 04964, 04972, 04971, 04974, 04976, 04973, 04978;;;;1p21;1
CIITA;HS047985;0.0057;3615;1;0;834;1;454;4261;0016605, 0005524, 0032403, 0003713, 0044212, 0060333, 0032966, 0000122, 0045345, 0045348, 0045944, 0046677, 0006351;04612, 05164, 05340, 05145, 05152;;;;16p13;16
FGD1;HS043483;0.0057;1644;2;0;839;1;454;2245;0005856, 0005829, 0005794, 0030027, 0005634, 0005886, 0001726, 0005085, 0046872, 0005543, 0005089, 0031267, 0030036, 0097190, 0046847, 0048011, 0009887, 0043065, 0043088, 0008360, 0007264;04810;;;;Xp11.21;X
APP;HS046797;0.0057;135095;8;0;33424;5;454;351;0045177, 0030424, 0009986, 0035253, 0005905, 0005829, 0043198, 0043197, 0005576, 0005794, 0005887, 0031594, 0048471, 0031093, 0051233, 0045202, 0003677, 0008201, 0016504, 0004867, 0046914, 0008344, 0008088, 0016199, 0007155, 0006878, 0008203, 0048669, 0016358, 0006897, 0030198, 0030900, 0045087, 0035235, 0007617, 0000085, 0006378, 0045665, 0050885, 0051402, 0016322, 0007219, 0035872, 0030168, 0002576, 0010971, 0045931, 0045944, 0006468, 0007176, 0040014, 0043393, 0050803, 0006417, 0006979, 0051563, 0001967, 0051124, 0008542;05010, 04726;;;;21q21.3;21
SDCBP;HS051963;0.0056;1947;2;0;864;1;454;6386;0005912, 0005856, 0005829, 0005789, 0070062, 0005925, 0005895, 0042470, 0005634, 0008093, 0005137, 0045545, 0030036, 0007411, 0035556, 0046330, 0042327, 0006612, 0007265, 0006930, 0007268;;;;;8q12;8
CAV3;HS055477;0.0056;3155;1;0;874;1;454;859;0005901, 0009986, 0016010, 0005783, 0000139, 0045121, 0031594, 0030315, 0031982, 0005246, 0071253, 0019870, 0008022, 0032403, 0032947, 0017080, 0007015, 0055013, 0070836, 0016049, 0042632, 0031122, 0007204, 0090002, 0042593, 0060347, 0046716, 0007517, 0007520, 0051926, 0010614, 0061052, 0045792, 0043407, 0051001, 1901380, 1901017, 2000009, 0060299, 0051647, 0001778, 0008284, 0031116, 0010831, 2000060, 0072659, 0060762, 0090279, 1901019, 0002027, 1900825, 0051394, 1900744, 0051896, 0038009, 0014819, 2000649, 0017015, 0086005, 0060373, 0060307, 0033292, 0006641;04510, 05100, 05205, 04144;;;;3p25;3
SLC12A1;HS052578;0.0056;2327;1;0;877;1;454;6557;0016021, 0005886, 0008511, 0006813, 0006814;;;;;15q15-q21.1;15
ADRA1A;HS041956;0.0056;2082;3;0;881;1;454;148;0005887, 0031965, 0030315, 0030018, 0004937, 0046982, 0007202, 0007512, 0007568, 0006915, 0060402, 0016049, 0007267, 0007243, 0060073, 0008285, 0001985, 0035024, 0032229, 0001994, 0035265, 0007200, 0097195, 0045760, 0060452, 0070374, 0001996, 0090037, 0045987, 0003084, 0001997, 0045907, 0042493, 0009725, 0006950, 0006939;04080, 04261, 04270, 04020, 04970;;;;8p21.2;8
FMR1;HS043936;0.0056;5319;8;0;882;1;454;2332;0005737, 0010494, 0043198, 0043197, 0005845, 0071598, 0005730, 0005654, 0045202, 0003729, 0007417, 0051028, 0045947;03013;;;;Xq27.3;X
GOLPH3;HS052045;0.0056;2288;2;0;888;1;454;64083;0005829, 0005768, 0031985, 0032580, 0005758, 0005739, 0031965, 0005886, 0005802, 0070273, 0060352, 0008283, 0010467, 0009101, 0007030, 0043001, 0048194, 0030032, 0050901, 0050714, 0032008, 0045053, 0009306, 0010821;05202;;;;5p13.3;5
HTRA1;HS050769;0.0056;3361;2;0;890;1;454;5654;0005829, 0005615, 0004252, 0030514, 0030512, 0006508, 0001558;;;;;10q26.3;10
HBA2;HS046132;0.0056;45979;8;0;33862;5;454;3039, 3040;0022627, 0071682, 0005576, 0031838, 0005833, 0020037, 0005506, 0019825, 0005344, 0015701, 0042744, 0015671, 0010942, 0051291, 0044281;05143, 05144;;;;16p13.3;16
ENTPD1;HS056579;0.0055;2946;1;0;910;1;454;953;0005605, 0005887, 0005524, 0017110, 0017111, 0006200, 0007596, 0007155, 0007186, 0030168, 0009181;00230, 05169, 00240;;;;10q24;10
RIT2;HS051662;0.0055;1862;7;0;915;1;454;6014;0005634, 0005886, 0005516, 0005525, 0003924, 0048011, 0007264, 0007268;;;;;18q12.3;18
PIM1;HS049362;0.0055;3233;1;0;925;1;454;5292;0005737, 0005634, 0005886, 0005524, 0030145, 0004674, 0043024, 0006915, 0007049, 0008283, 0007275, 0043066, 0043433, 0031659, 0046777;05206, 05221, 04630;;;;6p21.2;6
