Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
CACNA1S;HS053579;0.0077;2371;2;0;1118;2;675;779;0031674, 0016529, 0030315, 0005891, 0008331, 0046872, 0007411, 0007029, 0002074, 0006936, 0007520, 0007528, 0043501, 0048741, 0001501, 0006941;04260, 04010, 04261, 04726, 04725, 04727, 04911, 04912, 05412, 05414, 05010, 04723, 04270, 04020, 05410;;;;1q32;1
IRX4;HS048687;0.0076;141;1;0;46;1;675;50805;0005634, 0043565, 0003700, 0048561, 0007507;;;;;5p15.3;5
MMP2;HS048017;0.0075;64733;26;0;19413;6;675;4313;0005615, 0005739, 0005634, 0005886, 0005578, 0030017, 0004222, 0004252, 0008270, 0001525, 0001955, 0060346, 0044267, 0071230, 0030574, 0007566, 0022617, 0060325, 0001957, 0006508, 0001666;05200, 04912, 04915, 05205, 05219, 04670;;;;16q13-q21;16
NPY;HS048463;0.0075;65565;18;0;13753;5;675;4852;0005623, 0005615, 0005246, 0004930, 0005184, 0008343, 0008015, 0006816, 0008283, 0006928, 0021954, 0021987, 0007586, 0007187, 0031175, 0007218, 0032100, 0008217, 0007268;04080, 05034, 04920;;;;7p15.1;7
EFHC1;HS040572;0.0074;193;3;0;50;1;675;114327;0005930, 0005929, 0043025, 0005509, 0008022;;;;;6p12.3;6
LAPTM4A;HS056760;0.0074;115;2;0;50;1;675;9741;0012505, 0005794, 0016021, 0006810;04142;;;;2p24.1;2
SLC25A11;HS054798;0.0073;123;3;0;53;1;675;8402;0005887, 0005743, 0015367, 0006094, 0044281;;;;;17p13.3;17
AES;HS042544;0.0073;2910;13;0;1299;2;675;166;0005634, 0003714, 0031668, 0090090, 0032091, 0060761, 0000122, 0009887, 2000210, 0040008, 0070555, 0001501, 0006351, 0016055;;;;;19p13.3;19
NCAM1;HS038573;0.0069;24635;4;0;9415;4;675;4684;0031225, 0009897, 0005576, 0000139, 0016021, 0007411, 0007155, 0030198, 0060333;04514, 05020;;;;11q23.1;11
MEP1A;HS047961;0.0069;183;3;0;73;1;675;4224;0005615, 0005887, 0017090, 0004222, 0008270, 0007586, 0006508;04974;;;;6p12-p11;6
ITSN1;HS052262;0.0068;287;1;0;75;1;675;6453;0030054, 0005905, 0005829, 0030139, 0030027, 0043005, 0005886, 0045202, 0005509, 0005085, 0019209, 0005543, 0032947, 0005089, 0097190, 0043524, 0048011, 0043065, 0051897, 0035023, 0051056, 0007264, 0048488;;;;;21q22.1-q22.2;21
COMT;HS041343;0.0068;17893;20;0;4876;3;675;1312;0005829, 0016021, 0043231, 0005739, 0005886, 0016206, 0000287, 0008171, 0042420, 0008210, 0007565, 0007612, 0048609, 0045963, 0048662, 0042136, 0042135, 0050668, 0042493, 0032496, 0014070, 0048265, 0044281, 0006805;00140, 00350, 01100, 04728;;;;22q11.21;22
SLC25A27;HS056538;0.0068;229;1;0;76;1;675;9481;0045177, 0016021, 0005743, 0043025, 0035356, 0006091, 0048839, 0043066, 0070997, 0008284, 0051562, 0006810;;;;;6p12.3;6
ADCK3;HS050935;0.0068;238;6;0;77;1;675;56997;0005739, 0005524, 0004674, 0008219;;;;;1q42.13;1
DDC8;HS9090538;0.0068;14774;10;0;4927;3;675;100653515, 7077;0031514, 0005604, 0009986, 0005576, 0005615, 0030426, 0043025, 0008047, 0046872, 0008191, 0007568, 0071310, 0007417, 0022617, 0008285, 0045930, 0045861, 0046580, 0045762, 0043410, 0045666, 0032487, 0034097, 0042493;;;;;17q25;17
SMN2;HS052644;0.0067;8934;8;0;1577;2;675;6606, 6607;0005829, 0097504, 0005681, 0003723, 0008219, 0034660, 0000245, 0000387;03013;;;;5q13.2;5
No mapping: HS052511;HS052511;0.0066;173;1;0;89;1;675;;;;;;;null;null
LTA;HS047781;0.0064;13103;21;0;5308;3;675;4049;0005615, 0016020, 0005102, 0006915, 0007267, 0050830, 0006959, 0048535, 0048147, 0044130, 0043065, 0002876, 0002925, 0032729, 0042493, 0001666, 0032496, 0007584, 0007165;04940, 05168, 04064, 05166, 04668, 04060;;;;6p21.3;6
SLC1A2;HS052459;0.0064;6312;5;0;1733;2;675;6506;0030673, 0016021, 0005886, 0015501, 0005313, 0017153, 0030534, 0031668, 0070779, 0051938, 0035264, 0010259, 0046326, 0043200, 0042493, 0009611, 0007268, 0021537, 0007632;05014, 04724;;;;11p13-p12;11
CD7;HS056244;0.0063;3491;2;0;1813;2;675;924;0016021, 0005886, 0004872, 0048873, 0006955, 0042110, 0007169;04640;;;;17q25.2-q25.3;17
TNFRSF1A;HS053079;0.0062;13281;4;0;5609;3;675;7132;0030424, 0009986, 0005615, 0000139, 0005887, 0045121, 0005634, 0043234, 0005031, 0071392, 0071260, 0042742, 0016101, 0009812, 0006954, 0019048, 0010629, 0050728, 0032715, 0045766, 0043123, 0050729, 0033160, 0045944, 0032760, 0042511, 0006693, 0051291, 0042981, 0043279, 0043200, 0045471, 0001666, 0032496, 0033013;05010, 04064, 04932, 04060, 04010, 05152, 05166, 04668, 05164, 05014, 04920, 05142, 05145, 04210, 05168, 05160, 04380;;;;12p13.2;12
ACE2;HS051568;0.0062;7802;2;0;1880;2;675;59272;0009986, 0005615, 0016021, 0045121, 0005886, 0004180, 0004175, 0017046, 0001618, 0008270, 0002005, 0002003, 0003051, 0044267, 0019048, 2000379, 0006508, 0032800, 0042127, 0001817, 0050727, 0019229, 0042312, 0046718, 0046813;04974, 04614;;;;Xp22;X
MT-CYB;HS085713;0.0061;257;4;0;125;1;675;4519;0016021, 0005750, 0009055, 0046872, 0008121, 0006122, 0044281;00190, 01100, 04260, 05016, 04932, 05010, 05012;;;;;placenta
TIMM8A;HS042585;0.0061;451;1;0;126;1;675;1678;0005743, 0005758, 0046872, 0044267, 0072321, 0007399, 0006626;;;;;Xq22.1;X
CSNK1D;HS041820;0.0059;341;5;0;145;1;675;1453;0005813, 0005829, 0005794, 0005634, 0048471, 0005886, 0005876, 0005524, 0004672, 0004674, 0050321, 0032922, 0006281, 0000086, 0090263, 0032436, 0001934, 0042752, 0007165, 0051225, 0016055;04340, 04390, 04540, 04710;;;;17q25;17
GABRD;HS044452;0.0058;260;2;0;148;1;675;2563;0030054, 0034707, 0005887, 0045211, 0005254, 0005230, 0004890, 0007268, 0006810;04723, 04080, 04727, 05032, 05033;;;;1p36.3;1
CCM2;HS054654;0.0057;472;3;0;164;1;675;83605;0005737, 0043234, 0060837, 0045216, 0001885, 0061154, 0001701, 0048839, 0007229, 0035264, 0060039, 0051403, 0001570, 0048845;;;;;7p13;7
DRD1;HS042752;0.0057;3734;4;0;2229;2;675;1812;0005789, 0005887, 0005634, 0035240, 0001588, 0007190, 0007191, 0007628, 0014002, 0001662, 0048148, 0071870, 0021853, 0001661, 0021542, 0042417, 0015872, 0051482, 0046323, 0007625, 0060292, 0060291, 0007617, 0007613, 0035106, 0030432, 0060158, 0010579, 0030335, 0043268, 0051281, 0051968, 0060134, 0006606, 0019228, 0042053, 0051584, 0001975, 0042493, 0046960, 0021756, 0007416, 0001963, 0001659, 0042311, 0008542;04080, 04020, 04540, 04728, 05031, 05034, 05030, 05032;;;;5q35.1;5
PDCD10;HS040408;0.0055;716;3;0;184;1;675;11235;0005829, 0000139, 0005886, 0001525, 0006915, 0043066, 0008284, 0043406;;;;;3q26.1;3
PROKR2;HS041238;0.0055;539;4;0;189;1;675;128674;0016021, 0005886, 0004983, 0007623;;;;;20p12.3;20
IGSF6;HS039644;0.0054;336;1;0;194;1;675;10261;0005887, 0004888, 0007166, 0006955;;;;;16p12.2;16
GRIA1;HS045808;0.0054;6048;12;0;2430;2;675;2890;0032281, 0030054, 0009986, 0032590, 0043197, 0030666, 0005789, 0043025, 0014069, 0045211, 0008021, 0004971, 0005234, 0015277, 0030165, 0007616, 0031623, 0007268;05031, 04723, 05014, 04728, 04080, 04713, 04730, 05033, 04724, 04720;;;;5q31.1;5
